test_case,solver,T_start,alpha,T_end,iter_per_T,run_id,f_days,Z_slots,runtime_s,valid
TC_07,SA,200.0,0.9,0.1,10,2,4,14,0.043,true
TC_07,SA,200.0,0.9,0.1,10,3,4,14,0.047,true
TC_07,SA,200.0,0.9,0.1,10,4,4,14,0.052,true
TC_07,SA,200.0,0.9,0.1,10,5,4,14,0.043,true
TC_07,SA,200.0,0.95,0.1,10,1,4,14,0.045,true
TC_07,SA,200.0,0.95,0.1,10,2,4,14,0.051,true
TC_07,SA,200.0,0.95,0.1,10,3,4,14,0.065,true
TC_07,SA,200.0,0.95,0.1,10,4,4,14,0.072,true
TC_07,SA,200.0,0.95,0.1,10,5,4,14,0.032,true
TC_07,SA,200.0,0.99,0.1,10,1,4,14,0.038,true
TC_07,SA,200.0,0.99,0.1,10,2,4,14,0.045,true
TC_07,SA,200.0,0.99,0.1,10,3,4,14,0.052,true
TC_07,SA,200.0,0.99,0.1,10,4,4,14,0.055,true
TC_07,SA,200.0,0.99,0.1,10,5,4,14,0.051,true
TC_07,SA,200.0,0.999,0.1,10,1,4,14,0.114,true
TC_07,SA,200.0,0.999,0.1,10,2,4,14,0.112,true
TC_07,SA,200.0,0.999,0.1,10,3,4,14,0.099,true
TC_07,SA,200.0,0.999,0.1,10,4,4,14,0.105,true
TC_07,SA,200.0,0.999,0.1,10,5,4,14,0.091,true
TC_08,SA,50.0,0.9,0.1,10,1,9,34,0.046,true
TC_08,SA,50.0,0.9,0.1,10,2,9,34,0.054,true
TC_08,SA,50.0,0.9,0.1,10,3,9,34,0.049,true
TC_08,SA,50.0,0.9,0.1,10,4,9,34,0.049,true
TC_08,SA,50.0,0.9,0.1,10,5,9,34,0.049,true
TC_08,SA,50.0,0.95,0.1,10,1,9,34,0.054,true
TC_08,SA,50.0,0.95,0.1,10,2,9,34,0.056,true
TC_08,SA,50.0,0.95,0.1,10,3,9,34,0.051,true
TC_08,SA,50.0,0.95,0.1,10,4,9,34,0.052,true
TC_08,SA,50.0,0.95,0.1,10,5,9,34,0.05,true
TC_08,SA,50.0,0.99,0.1,10,1,9,34,0.059,true
TC_08,SA,50.0,0.99,0.1,10,2,9,34,0.06,true
TC_08,SA,50.0,0.99,0.1,10,3,9,34,0.063,true
TC_08,SA,50.0,0.99,0.1,10,4,9,34,0.06,true
TC_08,SA,50.0,0.99,0.1,10,5,9,34,0.062,true
TC_08,SA,50.0,0.999,0.1,10,1,9,34,0.094,true
TC_08,SA,50.0,0.999,0.1,10,2,9,34,0.097,true
TC_08,SA,50.0,0.999,0.1,10,3,9,34,0.103,true
TC_08,SA,50.0,0.999,0.1,10,4,9,34,0.1,true
TC_08,SA,50.0,0.999,0.1,10,5,9,34,0.098,true
TC_08,SA,100.0,0.9,0.1,10,1,9,34,0.054,true
TC_08,SA,100.0,0.9,0.1,10,2,9,34,0.058,true
TC_08,SA,100.0,0.9,0.1,10,3,9,34,0.057,true
TC_08,SA,100.0,0.9,0.1,10,4,9,34,0.058,true
TC_08,SA,100.0,0.9,0.1,10,5,9,34,0.061,true
TC_08,SA,100.0,0.95,0.1,10,1,9,34,0.071,true
TC_08,SA,100.0,0.95,0.1,10,2,9,34,0.049,true
TC_08,SA,100.0,0.95,0.1,10,3,9,34,0.043,true
TC_08,SA,100.0,0.95,0.1,10,4,9,34,0.049,true
TC_08,SA,100.0,0.95,0.1,10,5,9,34,0.046,true
TC_08,SA,100.0,0.99,0.1,10,1,9,34,0.054,true
TC_08,SA,100.0,0.99,0.1,10,2,9,34,0.048,true
TC_08,SA,100.0,0.99,0.1,10,3,9,34,0.063,true
TC_08,SA,100.0,0.99,0.1,10,4,9,34,0.052,true
TC_08,SA,100.0,0.99,0.1,10,5,9,34,0.074,true
TC_08,SA,100.0,0.999,0.1,10,1,9,34,0.102,true
TC_08,SA,100.0,0.999,0.1,10,2,9,34,0.105,true
TC_08,SA,100.0,0.999,0.1,10,3,9,34,0.103,true
TC_08,SA,100.0,0.999,0.1,10,4,9,34,0.102,true
TC_08,SA,100.0,0.999,0.1,10,5,9,34,0.086,true
TC_08,SA,200.0,0.9,0.1,10,1,9,34,0.051,true
TC_08,SA,200.0,0.9,0.1,10,2,9,34,0.056,true
TC_08,SA,200.0,0.9,0.1,10,3,9,34,0.058,true
TC_08,SA,200.0,0.9,0.1,10,4,9,34,0.046,true
TC_08,SA,200.0,0.9,0.1,10,5,9,34,0.06,true
TC_08,SA,200.0,0.95,0.1,10,1,9,34,0.054,true
TC_08,SA,200.0,0.95,0.1,10,2,9,34,0.061,true
TC_08,SA,200.0,0.95,0.1,10,3,9,34,0.052,true
TC_08,SA,200.0,0.95,0.1,10,4,9,34,0.043,true
TC_08,SA,200.0,0.95,0.1,10,5,9,34,0.054,true
TC_08,SA,200.0,0.99,0.1,10,1,9,34,0.068,true
TC_08,SA,200.0,0.99,0.1,10,2,9,34,0.056,true
TC_08,SA,200.0,0.99,0.1,10,3,9,34,0.054,true
TC_08,SA,200.0,0.99,0.1,10,4,9,34,0.048,true
TC_08,SA,200.0,0.99,0.1,10,5,9,34,0.065,true
TC_08,SA,200.0,0.999,0.1,10,1,9,34,0.113,true
TC_08,SA,200.0,0.999,0.1,10,2,9,34,0.194,true
TC_08,SA,200.0,0.999,0.1,10,3,9,34,0.126,true
TC_08,SA,200.0,0.999,0.1,10,4,9,34,0.107,true
TC_08,SA,200.0,0.999,0.1,10,5,9,34,0.113,true
