test_case,solver,T_start,alpha,T_end,iter_per_T,run_id,f_days,Z_slots,runtime_s,valid
TC_02,SA,100.0,0.9,0.1,10,1,19,74,0.272,true
TC_02,SA,100.0,0.9,0.1,10,2,19,74,0.196,true
TC_02,SA,100.0,0.9,0.1,10,3,19,74,0.221,true
TC_02,SA,100.0,0.9,0.1,10,4,19,74,0.273,true
TC_02,SA,100.0,0.9,0.1,10,5,19,74,0.201,true
TC_02,SA,100.0,0.95,0.1,10,1,19,74,0.27,true
TC_02,SA,100.0,0.95,0.1,10,2,19,74,0.23,true
TC_02,SA,100.0,0.95,0.1,10,3,19,74,0.278,true
TC_02,SA,100.0,0.95,0.1,10,4,19,74,0.284,true
TC_02,SA,100.0,0.95,0.1,10,5,19,74,0.219,true
TC_02,SA,100.0,0.99,0.1,10,1,19,74,0.243,true
TC_02,SA,100.0,0.99,0.1,10,2,19,74,0.213,true
TC_02,SA,100.0,0.99,0.1,10,3,19,74,0.208,true
TC_02,SA,100.0,0.99,0.1,10,4,19,74,0.287,true
TC_02,SA,100.0,0.99,0.1,10,5,19,74,0.218,true
TC_02,SA,100.0,0.999,0.1,10,1,19,74,0.4,true
TC_02,SA,100.0,0.999,0.1,10,2,19,74,0.33,true
TC_02,SA,100.0,0.999,0.1,10,3,19,74,0.393,true
TC_02,SA,100.0,0.999,0.1,10,4,19,74,0.368,true
TC_02,SA,100.0,0.999,0.1,10,5,19,74,0.346,true
TC_02,SA,200.0,0.9,0.1,10,1,19,74,0.194,true
TC_02,SA,200.0,0.9,0.1,10,2,19,74,0.276,true
TC_02,SA,200.0,0.9,0.1,10,3,19,74,0.245,true
TC_02,SA,200.0,0.9,0.1,10,4,19,74,0.233,true
TC_02,SA,200.0,0.9,0.1,10,5,19,74,0.212,true
TC_02,SA,200.0,0.95,0.1,10,1,19,74,0.209,true
TC_02,SA,200.0,0.95,0.1,10,2,19,74,0.202,true
TC_02,SA,200.0,0.95,0.1,10,3,19,74,0.257,true
TC_02,SA,200.0,0.95,0.1,10,4,19,74,0.244,true
TC_02,SA,200.0,0.95,0.1,10,5,19,74,0.28,true
TC_02,SA,200.0,0.99,0.1,10,1,19,74,0.24,true
TC_02,SA,200.0,0.99,0.1,10,2,19,74,0.273,true
TC_02,SA,200.0,0.99,0.1,10,3,19,74,0.23,true
TC_02,SA,200.0,0.99,0.1,10,4,19,74,0.26,true
TC_02,SA,200.0,0.99,0.1,10,5,19,74,0.236,true
TC_02,SA,200.0,0.999,0.1,10,1,19,74,0.503,true
TC_02,SA,200.0,0.999,0.1,10,2,19,74,0.341,true
TC_02,SA,200.0,0.999,0.1,10,3,19,74,0.383,true
TC_02,SA,200.0,0.999,0.1,10,4,19,74,0.457,true
